,sdm-xlsr-fairseq,sdm-dvector,sdm-mpm,sdm-pitch,sdm-speaking-rate,sdm-mwhisper,sdm-w2v2-asr,sdm-emotion2vec
sdm-xlsr-fairseq,0.23258765041828156,0.44374799728393555,0.29107028245925903,0.4259184002876282,1.0,0.15739929676055908,0.2659907937049866,0.0957149863243103
sdm-dvector,0.19918958842754364,0.44374799728393555,0.2766452133655548,0.3518581986427307,1.0,0.13696403801441193,0.2276187688112259,0.08579593151807785
sdm-mpm,0.216730535030365,0.44374799728393555,0.2861580550670624,0.3989521265029907,1.0,0.14766854047775269,0.24839836359024048,0.09202245622873306
sdm-pitch,0.20090055465698242,0.44374799728393555,0.27902522683143616,0.3579772114753723,1.0,0.1379575878381729,0.2299150824546814,0.0862785279750824
sdm-speaking-rate,0.1985642910003662,0.44374799728393555,0.2729583978652954,0.34038805961608887,1.0,0.1373617798089981,0.2286006510257721,0.0867406353354454
sdm-mwhisper,0.22762097418308258,0.44374799728393555,0.28934919834136963,0.4036763906478882,1.0,0.15346871316432953,0.26122069358825684,0.09482143074274063
sdm-w2v2-asr,0.22316481173038483,0.44374799728393555,0.2875308096408844,0.3991081714630127,1.0,0.15159209072589874,0.25659412145614624,0.09376927465200424
sdm-emotion2vec,0.2309654802083969,0.44374799728393555,0.28713005781173706,0.43775540590286255,1.0,0.15436917543411255,0.26100024580955505,0.0947655662894249
