sdm,target,layer,r2_test
sdm-xlsr-fairseq,sdm-pitch,3,-0.1513838768005371
sdm-xlsr-fairseq,sdm-pitch,4,-0.3485513925552368
sdm-xlsr-fairseq,sdm-pitch,5,-0.24209320545196533
sdm-xlsr-fairseq,sdm-pitch,6,-0.17579245567321777
sdm-xlsr-fairseq,sdm-pitch,7,0.031403303146362305
sdm-xlsr-fairseq,sdm-pitch,8,-0.301113486289978
sdm-xlsr-fairseq,sdm-pitch,9,-0.38821613788604736
sdm-xlsr-fairseq,sdm-pitch,10,-0.11917769908905029
sdm-xlsr-fairseq,sdm-pitch,11,-0.09033370018005371
sdm-xlsr-fairseq,sdm-pitch,12,-0.14558100700378418
sdm-xlsr-fairseq,sdm-pitch,13,-0.19308102130889893
sdm-xlsr-fairseq,sdm-pitch,14,-0.42408502101898193
sdm-xlsr-fairseq,sdm-pitch,15,-0.4063713550567627
sdm-xlsr-fairseq,sdm-pitch,16,-0.7412623167037964
sdm-xlsr-fairseq,sdm-pitch,17,-0.8215979337692261
sdm-xlsr-fairseq,sdm-pitch,18,-0.5607413053512573
sdm-xlsr-fairseq,sdm-pitch,19,-0.6959033012390137
sdm-xlsr-fairseq,sdm-pitch,20,-0.5544896125793457
sdm-xlsr-fairseq,sdm-pitch,21,-0.4591258764266968
sdm-xlsr-fairseq,sdm-pitch,22,-0.6309971809387207
sdm-xlsr-fairseq,sdm-pitch,23,-0.9560257196426392
sdm-xlsr-fairseq,sdm-pitch,24,0.4259184002876282
sdm-xlsr-fairseq,sdm-speaking-rate,0,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,1,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,2,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,3,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,4,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,5,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,6,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,7,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,8,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,9,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,10,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,11,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,12,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,13,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,14,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,15,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,16,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,17,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,18,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,19,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,20,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,21,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,22,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,23,1.0
sdm-xlsr-fairseq,sdm-speaking-rate,24,1.0
sdm-xlsr-fairseq,sdm-mwhisper,0,-0.10047932714223862
sdm-xlsr-fairseq,sdm-mwhisper,1,-0.3469026982784271
sdm-xlsr-fairseq,sdm-mwhisper,2,-0.39823809266090393
sdm-xlsr-fairseq,sdm-mwhisper,3,-0.46528127789497375
sdm-xlsr-fairseq,sdm-mwhisper,4,-0.5438142418861389
sdm-xlsr-fairseq,sdm-mwhisper,5,-0.6282944679260254
