sdm,layer,target,r2_train,r2_test,n_test,n_groups_train,n_groups_test,probe_type,n_dropped,n_dropped_x_only,n_dropped_y_only,n_dropped_both,target_var,target_constant,split
sdm-xlsr-fairseq,2,sdm-xlsr-fairseq,0.42758679389953613,0.3388090133666992,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-dvector,0.8651770353317261,0.5715341567993164,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-dvector,0.7519665956497192,0.6312099695205688,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-pitch,0.9126793742179871,0.8010364770889282,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-pitch,0.9218828678131104,0.8648030757904053,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-mpm,0.7944020628929138,0.3613184988498688,500,400,100,ridge,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-mpm,0.6191015243530273,0.5293715000152588,500,400,100,mlp,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-speaking-rate,0.5988852977752686,-0.11886608600616455,500,400,100,ridge,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-speaking-rate,0.3157035708427429,0.17128074169158936,500,400,100,mlp,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-w2v2-asr,0.736598014831543,0.1808093786239624,500,400,100,ridge,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-w2v2-asr,0.4941007196903229,0.3784656822681427,500,400,100,mlp,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-mwhisper,0.6626925468444824,-0.047638535499572754,500,400,100,ridge,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-mwhisper,0.23034155368804932,0.17878083884716034,500,400,100,mlp,0,0,0,0,0.6189746856689453,False,group_by_utterance
