,sdm-xlsr-fairseq,sdm-dvector,sdm-mpm,sdm-pitch,sdm-speaking-rate,sdm-mwhisper,sdm-w2v2-asr,sdm-emotion2vec
sdm-xlsr-fairseq,0.38562965393066406,0.6150321960449219,0.5196812152862549,0.833092987537384,0.21344435214996338,0.26976364850997925,0.4440535008907318,0.20983166992664337
sdm-dvector,0.34923306107521057,0.6148187518119812,0.5088456869125366,0.8308979272842407,0.2062617540359497,0.24239498376846313,0.41263020038604736,0.19052737951278687
sdm-mpm,0.3681691586971283,0.615022599697113,0.5162051916122437,0.830951988697052,0.2086097002029419,0.256653368473053,0.4296199679374695,0.2006644457578659
sdm-pitch,0.3519867956638336,0.6148189306259155,0.5102518796920776,0.8310288190841675,0.2032967209815979,0.24421298503875732,0.4150710999965668,0.19156117737293243
sdm-speaking-rate,0.34744107723236084,0.614883303642273,0.5076051950454712,0.830715537071228,0.2062220573425293,0.24152036011219025,0.41336095333099365,0.1903652399778366
sdm-mwhisper,0.38065025210380554,0.6149520874023438,0.5189028978347778,0.8311075568199158,0.21166706085205078,0.2660823166370392,0.4398716390132904,0.2073398381471634
sdm-w2v2-asr,0.3760485351085663,0.6151606440544128,0.5167202949523926,0.8311499357223511,0.20812630653381348,0.26302072405815125,0.437375545501709,0.2050398588180542
sdm-emotion2vec,0.3779078423976898,0.6151841282844543,0.5173572301864624,0.836036741733551,0.2092459797859192,0.2632049024105072,0.44002124667167664,0.20469366014003754
