,sdm-xlsr-fairseq,sdm-dvector,sdm-mpm,sdm-pitch,sdm-speaking-rate,sdm-mwhisper,sdm-w2v2-asr,sdm-emotion2vec
sdm-xlsr-fairseq,0.4425359070301056,0.6312099695205688,0.5293715000152588,0.8648030757904053,0.21006906032562256,0.26002374291419983,0.4819607138633728,0.22435005009174347
sdm-dvector,0.43201878666877747,0.6335281133651733,0.5277427434921265,0.873102068901062,0.22011101245880127,0.2606910467147827,0.48140949010849,0.2261161357164383
sdm-mpm,0.4449649751186371,0.632861316204071,0.5283183455467224,0.8657828569412231,0.1976035237312317,0.26196953654289246,0.48255378007888794,0.225142240524292
sdm-pitch,0.43378642201423645,0.6259236335754395,0.5270427465438843,0.8588590025901794,0.21011346578598022,0.256523996591568,0.4806174635887146,0.22402989864349365
sdm-speaking-rate,0.4470501244068146,0.6289927959442139,0.5268071889877319,0.8565607666969299,0.2200278639793396,0.2560751736164093,0.48373329639434814,0.22499530017375946
sdm-mwhisper,0.43713435530662537,0.6306970119476318,0.5280170440673828,0.865268349647522,0.20340681076049805,0.2563599944114685,0.4819853901863098,0.22603821754455566
sdm-w2v2-asr,0.43679261207580566,0.6331065893173218,0.5271815657615662,0.8578578233718872,0.21362560987472534,0.25826191902160645,0.48774483799934387,0.22677575051784515
sdm-emotion2vec,0.4347798526287079,0.6328249573707581,0.5271544456481934,0.8554970622062683,0.197668194770813,0.254067599773407,0.4778812527656555,0.2190002202987671
